,DATE,PRECIP_TOTAL_DAY_MM,VISIBILITY_AVG_KM
0,2017-01-01,0.0,10.0
1,2017-01-02,0.3,8.0
2,2017-01-03,0.0,9.0
3,2017-01-04,0.6,7.0
4,2017-01-05,0.0,8.0
5,2017-01-06,0.0,10.0
6,2017-01-07,0.3,9.125
7,2017-01-08,0.9,0.25
8,2017-01-09,1.6,5.125
9,2017-01-10,6.2,7.0
10,2017-01-11,1.0,6.625
11,2017-01-12,8.4,6.5
12,2017-01-13,3.5,9.75
13,2017-01-14,1.2,9.75
14,2017-01-15,5.0,7.75
15,2017-01-16,0.0,7.0
16,2017-01-17,0.0,8.625
17,2017-01-18,0.0,10.0
18,2017-01-19,0.0,10.0
19,2017-01-20,0.0,9.0
20,2017-01-21,0.0,8.0
21,2017-01-22,0.0,10.0
22,2017-01-23,0.0,10.0
23,2017-01-24,0.5,9.75
24,2017-01-25,0.0,7.0
25,2017-01-26,0.0,10.0
26,2017-01-27,1.0,8.75
27,2017-01-28,2.6,7.5
28,2017-01-29,0.6,9.625
29,2017-01-30,11.4,4.125
30,2017-01-31,4.3,5.5
31,2017-02-01,1.0,7.375
32,2017-02-02,1.2,8.25
33,2017-02-03,2.3,7.375
34,2017-02-04,9.4,9.0
35,2017-02-05,6.1,8.375
36,2017-02-06,0.4,10.0
37,2017-02-07,8.3,8.0
38,2017-02-08,0.2,8.0
39,2017-02-09,0.3,9.0
40,2017-02-10,0.3,10.0
41,2017-02-11,0.2,9.0
42,2017-02-12,1.5,7.75
43,2017-02-13,0.0,10.0
44,2017-02-14,0.7,8.375
45,2017-02-15,1.3,9.75
46,2017-02-16,2.8,8.75
47,2017-02-17,0.0,10.0
48,2017-02-18,0.0,9.0
49,2017-02-19,0.0,9.375
50,2017-02-20,0.6,8.625
51,2017-02-21,0.6,10.0
52,2017-02-22,0.1,10.0
53,2017-02-23,1.7,9.0
54,2017-02-24,0.7,9.875
55,2017-02-25,0.0,10.0
56,2017-02-26,0.3,10.0
57,2017-02-27,7.0,6.375
